timestamp,meter,energy_kwh
2020-03-01 00:00:00,HM-HW-01,140.0
2020-03-01 00:00:00,HM-JA-01,100.0
2020-03-01 00:00:00,HM-TG-02,10.3
2020-03-01 00:00:00,HM-RC-01,360.0
2020-03-01 00:00:00,HM-SC-01,50.0
2020-03-01 00:00:00,HM-ST-01,0.0
2020-03-01 00:00:00,HM-JW-01,140.0
2020-03-01 00:00:00,HM-SU-01,0.0
2020-03-01 00:00:00,HM-TI-01,340.0
2020-03-01 00:00:00,HM-RW-01,205.0
2020-03-01 00:00:00,HM-CU-01,185.0
2020-03-01 00:00:00,HM-TG-01,220.0
2020-03-01 00:00:00,HM-GH-01,0.0
2020-03-01 00:00:00,HM-HD-01,0.0
2020-03-01 00:00:00,HM-TG-03,7.5
2020-03-01 00:30:00,HM-SU-01,0.0
2020-03-01 00:30:00,HM-GH-01,0.0
2020-03-01 00:30:00,HM-CU-01,179.0
2020-03-01 00:30:00,HM-TI-01,340.0
2020-03-01 00:30:00,HM-HD-01,0.0
2020-03-01 00:30:00,HM-TG-02,10.9
2020-03-01 00:30:00,HM-TG-01,250.0
2020-03-01 00:30:00,HM-JA-01,60.0
2020-03-01 00:30:00,HM-RC-01,370.0
2020-03-01 00:30:00,HM-ST-01,0.0
2020-03-01 00:30:00,HM-HW-01,120.0
2020-03-01 00:30:00,HM-JW-01,120.0
2020-03-01 00:30:00,HM-RW-01,221.0
2020-03-01 00:30:00,HM-TG-03,7.7
2020-03-01 00:30:00,HM-SC-01,60.0
2020-03-01 01:00:00,HM-TG-01,190.0
2020-03-01 01:00:00,HM-HW-01,120.0
2020-03-01 01:00:00,HM-RW-01,210.0
2020-03-01 01:00:00,HM-CU-01,172.0
2020-03-01 01:00:00,HM-GH-01,0.0
2020-03-01 01:00:00,HM-SU-01,0.0
2020-03-01 01:00:00,HM-ST-01,0.0
2020-03-01 01:00:00,HM-TI-01,320.0
2020-03-01 01:00:00,HM-TG-03,7.2
2020-03-01 01:00:00,HM-TG-02,9.7
2020-03-01 01:00:00,HM-SC-01,40.0
2020-03-01 01:00:00,HM-RC-01,300.0
2020-03-01 01:00:00,HM-JA-01,90.0
2020-03-01 01:00:00,HM-JW-01,120.0
2020-03-01 01:00:00,HM-HD-01,0.0
2020-03-01 01:30:00,HM-JA-01,100.0
2020-03-01 01:30:00,HM-TG-01,220.0
2020-03-01 01:30:00,HM-HW-01,100.0
2020-03-01 01:30:00,HM-RW-01,213.0
2020-03-01 01:30:00,HM-JW-01,110.0
