meter,energy_kwh,flow_rate_l_per_h,inlet_temp_degc,outlet_temp_degc,site,timestamp
HM-RC-01,,9.27,,,Building_6,01/05/2020 21:00
HM-JW-01,,,,83.07,Building_3,01/05/2020 21:30
CHP Heat Meter HM-D-01,1350,,,,Energy Centre,01/05/2020 21:30
HM-GH-01,,,,69.97,Building_12,01/05/2020 21:30
ACB TX1 MAIN INCOMER,17,,,,Building_10,01/05/2020 21:30
HM-SC-01,,,89.47,,Building_11,01/05/2020 21:30
HM-RC-01,,,90.195,,Building_6,01/05/2020 21:30
MCP10 - CMAC heating AHUs,2.8,,,,Building_10,01/05/2020 21:30
HM-HW-01,,,,70.405,Building2,01/05/2020 21:30
HM-GH-01,,,77.925,,Building_12,01/05/2020 21:30
Level 4 Small Power,3,,,,Building_10,01/05/2020 21:30
CHP Heat Meter HM-D-01,,109.035,,,Energy Centre,01/05/2020 21:30
CMAC Power,3,,,,Building_10,01/05/2020 21:30
MCCBA1 PV SUPPLY,0,,,,Building_10,01/05/2020 21:30
HM-ST-01,,,84.63,,Building_7,01/05/2020 21:30
HM-TG-02,,,89.475,,Building_14,01/05/2020 21:30
Level 4 IT,1,,,,Building_10,01/05/2020 21:30
AHU,51,,,,Building_10,01/05/2020 21:30
HM-RC-01,,18.295,,,Building_6,01/05/2020 21:30
BIO Labs,1,,,,Building_10,01/05/2020 21:30
HM-RC-01,280,,,,Building_6,01/05/2020 21:30
HM-SC-01,,,,67.55,Building_11,01/05/2020 21:30
PEC Labs,1,,,,Building_10,01/05/2020 21:30
Kitchens,0,,,,Building_10,01/05/2020 21:30
HM-SU-01,0,,,,Building_8,01/05/2020 21:30
Boiler 3 Heat Meter HM-C-01,,,67.075,,Energy Centre,01/05/2020 21:30
Chillers,26,,,,Building_10,01/05/2020 21:30
HM-TG-01,,,90.045,,Building_14,01/05/2020 21:30
SHD Labs,3,,,,Building_10,01/05/2020 21:30
Small Power,18,,,,Building_10,01/05/2020 21:30
Mechanical Plant,99,,,,Building_10,01/05/2020 21:30
HM-TG-03,,,,57.505,Building_14,01/05/2020 21:30
HM-JW-01,,0,,,Building_3,01/05/2020 21:30
Level 4 Power Demand,0,,,,Building_10,01/05/2020 21:30
HM-TI-01,,,,72.93,Building_10,01/05/2020 21:30
Boiler 1 Heat Meter HM-A-01,,0,,,Energy Centre,01/05/2020 21:30
HM-HW-01,160,,,,Building2,01/05/2020 21:30
HM-TG-02,9.1,,,,Building_14,01/05/2020 21:30
HM-ST-01,,,,72.965,Building_7,01/05/2020 21:30
HM-HW-01,,0,,,Building2,01/05/2020 21:30
Boiler 2 Heat Meter HM-B-01,0,,,,Energy Centre,01/05/2020 21:30
HM-TG-01,130,,,,Building_14,01/05/2020 21:30
HM-HD-01,0,,,,Building_13,01/05/2020 21:30
HM-SC-01,50,,,,Building_11,01/05/2020 21:30
HM-TG-03,,,89.425,,Building_14,01/05/2020 21:30
ACB TX2 MAIN INCOMER,27,,,,Building_10,01/05/2020 21:30
Boiler 1 Heat Meter HM-A-01,,,,56.3,Energy Centre,01/05/2020 21:30
HM-ST-01,0,,,,Building_7,01/05/2020 21:30
HM-HW-01,,,89.92,,Building2,01/05/2020 21:30
ACB1 TX5 MAIN INCOMER,1,,,,Building_10,01/05/2020 21:30
Boiler 2 Heat Meter HM-B-01,,0,,,Energy Centre,01/05/2020 21:30
HM-JA-01,65,,,,Building_4,01/05/2020 21:30
HM-ST-01,,0,,,Building_7,01/05/2020 21:30
HM-JA-01,,,88.13,,Building_4,01/05/2020 21:30
DH Heat Meter HM-H-01,,,90.705,,Energy Centre,01/05/2020 21:30
HM-CU-01,,,,27.71,Building_1,01/05/2020 21:30
DH Heat Meter HM-H-01,,161.585,,,Energy Centre,01/05/2020 21:30
HM-JA-01,,,,76.25,Building_4,01/05/2020 21:30
HM-RW-01,136,,,,Building_5,01/05/2020 21:30
ILC Labs,1,,,,Building_10,01/05/2020 21:30
Fume Cupboard Extracts,6,,,,Building_10,01/05/2020 21:30
HM-RC-01,,,,61.86,Building_6,01/05/2020 21:30
HM-JA-01,,0,,,Building_4,01/05/2020 21:30
HM-SC-01,,0,,,Building_11,01/05/2020 21:30
 Labs,12,,,,Building_10,01/05/2020 21:30
HM-CU-01,,0,,,Building_1,01/05/2020 21:30
Boiler 3 Heat Meter HM-C-01,0,,,,Energy Centre,01/05/2020 21:30
MCP11 - CMAC cooling AHUs,5.2,,,,Building_10,01/05/2020 21:30
HM-GH-01,,0,,,Building_12,01/05/2020 21:30
HM-RW-01,,,89.89,,Building_5,01/05/2020 21:30
ACBTX4  MAINS INCOMER,61,,,,Building_10,01/05/2020 21:30
Level 9 L&P,0,,,,Building_10,01/05/2020 21:30
HM-SU-01,,,,13.855,Building_8,01/05/2020 21:30
HM-TG-02,,0.455,,,Building_14,01/05/2020 21:30
Level 4 Total Power Demand,13000,,,,Building_10,01/05/2020 21:30
HM-TI-01,,,90.15,,Building_10,01/05/2020 21:30
HM-HD-01,,,70.585,,Building_13,01/05/2020 21:30
HM-JW-01,,,90.005,,Building_3,01/05/2020 21:30
Heating pumps,40,,,,Building_10,01/05/2020 21:30
HM-TG-01,,,,72.11,Building_14,01/05/2020 21:30
HM-HD-01,,,,55.16,Building_13,01/05/2020 21:30
Auditoriums,1,,,,Building_10,01/05/2020 21:30
 Lifts,0,,,,Building_10,01/05/2020 21:30
CHP Heat Meter HM-D-01,,,90.505,,Energy Centre,01/05/2020 21:30
Boiler 2 Heat Meter HM-B-01,,,,63.53,Energy Centre,01/05/2020 21:30
DH Heat Meter HM-H-01,1370,,,,Energy Centre,01/05/2020 21:30
HM-CU-01,0,,,,Building_1,01/05/2020 21:30
CMAC Lighting,0.31,,,,Building_10,01/05/2020 21:30
CHP Heat Meter HM-D-01,,,,71.44,Energy Centre,01/05/2020 21:30
ABP Labs,3,,,,Building_10,01/05/2020 21:30
HM-GH-01,0,,,,Building_12,01/05/2020 21:30
SCA Labs,3,,,,Building_10,01/05/2020 21:30
HM-SU-01,,,15.455,,Building_8,01/05/2020 21:30
HM-RC-01,,9.025,,,Building_6,01/05/2020 22:00
ABP Labs,2,,,,Building_10,01/05/2020 22:00
Small Power,21,,,,Building_10,01/05/2020 22:00
Level 9 L&P,0,,,,Building_10,01/05/2020 22:00
HM-TI-01,190,,,,Building_10,01/05/2020 22:00
DH Heat Meter HM-H-01,,150.585,,,Energy Centre,01/05/2020 22:00
SCA Labs,6,,,,Building_10,01/05/2020 22:00
CHP Heat Meter HM-D-01,,,,71.08,Energy Centre,01/05/2020 22:00
HM-TG-03,,,89.65,,Building_14,01/05/2020 22:00
DH Heat Meter HM-H-01,1350,,,,Energy Centre,01/05/2020 22:00
HM-RW-01,158,,,,Building_5,01/05/2020 22:00
HM-CU-01,0,,,,Building_1,01/05/2020 22:00
CMAC Lighting,0.608,,,,Building_10,01/05/2020 22:00
HM-TG-02,9.5,,,,Building_14,01/05/2020 22:00
ACB TX1 MAIN INCOMER,18,,,,Building_10,01/05/2020 22:00
 Lifts,0,,,,Building_10,01/05/2020 22:00
CHP Heat Meter HM-D-01,,,90.215,,Energy Centre,01/05/2020 22:00
HM-JW-01,,,,82.525,Building_3,01/05/2020 22:00
FHR Labs,1,,,,Building_10,01/05/2020 22:00
HM-SC-01,,0,,,Building_11,01/05/2020 22:00
Fume Cupboard Extracts,6,,,,Building_10,01/05/2020 22:00
HM-RW-01,,0,,,Building_5,01/05/2020 22:00
HM-JA-01,65,,,,Building_4,01/05/2020 22:00
HM-ST-01,0,,,,Building_7,01/05/2020 22:00
HM-JW-01,20,,,,Building_3,01/05/2020 22:00
ACBTX4  MAINS INCOMER,68,,,,Building_10,01/05/2020 22:00
HM-TG-01,140,,,,Building_14,01/05/2020 22:00
HM-TG-03,,,,57.57,Building_14,01/05/2020 22:00
Boiler 1 Heat Meter HM-A-01,,,24.925,,Energy Centre,01/05/2020 22:00
Boiler 2 Heat Meter HM-B-01,,,,63.315,Energy Centre,01/05/2020 22:00
HM-TI-01,,20.525,,,Building_10,01/05/2020 22:00
HM-CU-01,,,83.695,,Building_1,01/05/2020 22:00
HM-HW-01,150,,,,Building2,01/05/2020 22:00
HM-JW-01,,,89.715,,Building_3,01/05/2020 22:00
HM-SU-01,,,15.42,,Building_8,01/05/2020 22:00
HM-SU-01,,0,,,Building_8,01/05/2020 22:00
Boiler 2 Heat Meter HM-B-01,,,21.05,,Energy Centre,01/05/2020 22:30
HM-HD-01,,0,,,Building_13,01/05/2020 22:30
HM-SC-01,,,,70.825,Building_11,01/05/2020 22:30
HM-TG-03,6.1,,,,Building_14,01/05/2020 22:30
HM-JW-01,,,89.715,,Building_3,01/05/2020 22:30
HM-TG-01,,,,71.995,Building_14,01/05/2020 22:30
HM-TG-03,,0.355,,,Building_14,01/05/2020 22:30
HM-HW-01,130,,,,Building2,01/05/2020 22:30
HM-HD-01,,,,47.075,Building_13,01/05/2020 22:30
HM-HD-01,,,61.165,,Building_13,01/05/2020 22:30
HM-SC-01,,,89.37,,Building_11,01/05/2020 22:30
HM-ST-01,0,,,,Building_7,01/05/2020 22:30
PEC Labs,3,,,,Building_10,01/05/2020 22:30
HM-GH-01,0,,,,Building_12,01/05/2020 22:30
CHP Heat Meter HM-D-01,,,90.04,,Energy Centre,01/05/2020 22:30
DH Heat Meter HM-H-01,,,,70.705,Energy Centre,01/05/2020 22:30
HM-SU-01,0,,,,Building_8,01/05/2020 22:30
MCP10 - CMAC heating AHUs,2.8,,,,Building_10,01/05/2020 22:30
HM-JA-01,,,89.39,,Building_4,01/05/2020 22:30
HM-RW-01,,,,70.5,Building_5,01/05/2020 22:30
Boiler 3 Heat Meter HM-C-01,,0,,,Energy Centre,01/05/2020 22:30
Mechanical Plant,98,,,,Building_10,01/05/2020 22:30
HM-CU-01,0,,,,Building_1,01/05/2020 22:30
HM-TG-01,,0,,,Building_14,01/05/2020 22:30
Boiler 2 Heat Meter HM-B-01,,,,62.92,Energy Centre,01/05/2020 22:30
BIO Labs,1,,,,Building_10,01/05/2020 22:30
HM-TG-03,,,,57.33,Building_14,01/05/2020 22:30
SHD Labs,2,,,,Building_10,01/05/2020 22:30
ACBTX4  MAINS INCOMER,63,,,,Building_10,01/05/2020 22:30
ACB TX2 MAIN INCOMER,27,,,,Building_10,01/05/2020 22:30
Kitchens,2,,,,Building_10,01/05/2020 22:30
ACB1 TX5 MAIN INCOMER,2,,,,Building_10,01/05/2020 22:30
ILC Labs,1,,,,Building_10,01/05/2020 22:30
 Labs,13,,,,Building_10,01/05/2020 22:30
MCP11 - CMAC cooling AHUs,5,,,,Building_10,01/05/2020 22:30
Level 4 Total Power Demand,13385,,,,Building_10,01/05/2020 22:30
MCCBA1 PV SUPPLY,0,,,,Building_10,01/05/2020 22:30
HM-ST-01,,,,70.205,Building_7,01/05/2020 22:30
HM-RW-01,,,89.615,,Building_5,01/05/2020 22:30
HM-TG-01,130,,,,Building_14,01/05/2020 22:30
HM-TG-01,,,89.67,,Building_14,01/05/2020 22:30
HM-SC-01,,0,,,Building_11,01/05/2020 22:30
Boiler 3 Heat Meter HM-C-01,,,,66.205,Energy Centre,01/05/2020 22:30
Level 4 IT,2,,,,Building_10,01/05/2020 22:30
HM-JW-01,,,,82.525,Building_3,01/05/2020 22:30
Boiler 3 Heat Meter HM-C-01,0,,,,Energy Centre,01/05/2020 22:30
Boiler 1 Heat Meter HM-A-01,,0,,,Energy Centre,01/05/2020 22:30
