meter,energy_kwh,flow_rate_l_per_h,inlet_temp_degc,outlet_temp_degc,site,timestamp
HM-RC-01,,9.27,,,Royal College,2020-05-01 21:00:00
HM-JW-01,,,,83.07,James Weir Building,2020-05-01 21:30:00
CHP Heat Meter HM-D-01,1350.0,,,,Energy Centre,2020-05-01 21:30:00
HM-GH-01,,,,69.97,Graham Hills,2020-05-01 21:30:00
ACB TX1 MAIN INCOMER,17.0,,,,TIC BUILDING,2020-05-01 21:30:00
HM-SC-01,,,89.47,,Strathclyde Sport,2020-05-01 21:30:00
HM-RC-01,,,90.195,,Royal College,2020-05-01 21:30:00
MCP10 - CMAC heating AHUs,2.8,,,,TIC BUILDING,2020-05-01 21:30:00
HM-HW-01,,,,70.405,SIPBS Hamnett Wing,2020-05-01 21:30:00
HM-GH-01,,,77.925,,Graham Hills,2020-05-01 21:30:00
Level 4 Small Power,3.0,,,,TIC BUILDING,2020-05-01 21:30:00
CHP Heat Meter HM-D-01,,109.035,,,Energy Centre,2020-05-01 21:30:00
CMAC Power,3.0,,,,TIC BUILDING,2020-05-01 21:30:00
MCCBA1 PV SUPPLY,0.0,,,,TIC BUILDING,2020-05-01 21:30:00
HM-ST-01,,,84.63,,Stenhouse Wing,2020-05-01 21:30:00
HM-TG-02,,,89.475,,Thomas Graham Building,2020-05-01 21:30:00
Level 4 IT,1.0,,,,TIC BUILDING,2020-05-01 21:30:00
TIC AHUs,51.0,,,,TIC BUILDING,2020-05-01 21:30:00
HM-RC-01,,18.295,,,Royal College,2020-05-01 21:30:00
BIO Labs,1.0,,,,TIC BUILDING,2020-05-01 21:30:00
HM-RC-01,280.0,,,,Royal College,2020-05-01 21:30:00
HM-SC-01,,,,67.55,Strathclyde Sport,2020-05-01 21:30:00
PEC Labs,1.0,,,,TIC BUILDING,2020-05-01 21:30:00
TIC Kitchens,0.0,,,,TIC BUILDING,2020-05-01 21:30:00
HM-SU-01,0.0,,,,Students Union,2020-05-01 21:30:00
Boiler 3 Heat Meter HM-C-01,,,67.075,,Energy Centre,2020-05-01 21:30:00
TIC Chillers,26.0,,,,TIC BUILDING,2020-05-01 21:30:00
HM-TG-01,,,90.045,,Thomas Graham Building,2020-05-01 21:30:00
SHD Labs,3.0,,,,TIC BUILDING,2020-05-01 21:30:00
TIC Small Power,18.0,,,,TIC BUILDING,2020-05-01 21:30:00
TIC Mechanical Plant,99.0,,,,TIC BUILDING,2020-05-01 21:30:00
HM-TG-03,,,,57.505,Thomas Graham Building,2020-05-01 21:30:00
HM-JW-01,,0.0,,,James Weir Building,2020-05-01 21:30:00
Level 4 Power Demand,0.0,,,,TIC BUILDING,2020-05-01 21:30:00
HM-TI-01,,,,72.93,TIC BUILDING,2020-05-01 21:30:00
Boiler 1 Heat Meter HM-A-01,,0.0,,,Energy Centre,2020-05-01 21:30:00
HM-HW-01,160.0,,,,SIPBS Hamnett Wing,2020-05-01 21:30:00
HM-TG-02,9.1,,,,Thomas Graham Building,2020-05-01 21:30:00
HM-ST-01,,,,72.965,Stenhouse Wing,2020-05-01 21:30:00
HM-HW-01,,0.0,,,SIPBS Hamnett Wing,2020-05-01 21:30:00
Boiler 2 Heat Meter HM-B-01,0.0,,,,Energy Centre,2020-05-01 21:30:00
HM-TG-01,130.0,,,,Thomas Graham Building,2020-05-01 21:30:00
HM-HD-01,0.0,,,,Henry Dyer,2020-05-01 21:30:00
HM-SC-01,50.0,,,,Strathclyde Sport,2020-05-01 21:30:00
HM-TG-03,,,89.425,,Thomas Graham Building,2020-05-01 21:30:00
ACB TX2 MAIN INCOMER,27.0,,,,TIC BUILDING,2020-05-01 21:30:00
Boiler 1 Heat Meter HM-A-01,,,,56.3,Energy Centre,2020-05-01 21:30:00
HM-ST-01,0.0,,,,Stenhouse Wing,2020-05-01 21:30:00
HM-HW-01,,,89.92,,SIPBS Hamnett Wing,2020-05-01 21:30:00
ACB1 TX5 MAIN INCOMER,1.0,,,,TIC BUILDING,2020-05-01 21:30:00
Boiler 2 Heat Meter HM-B-01,,0.0,,,Energy Centre,2020-05-01 21:30:00
HM-JA-01,65.0,,,,John Anderson Building,2020-05-01 21:30:00
HM-ST-01,,0.0,,,Stenhouse Wing,2020-05-01 21:30:00
HM-JA-01,,,88.13,,John Anderson Building,2020-05-01 21:30:00
DH Heat Meter HM-H-01,,,90.705,,Energy Centre,2020-05-01 21:30:00
HM-CU-01,,,,27.71,Curran Building,2020-05-01 21:30:00
DH Heat Meter HM-H-01,,161.585,,,Energy Centre,2020-05-01 21:30:00
HM-JA-01,,,,76.25,John Anderson Building,2020-05-01 21:30:00
HM-RW-01,136.0,,,,SIPBS Robertson Wing (John Arbuthnott),2020-05-01 21:30:00
ILC Labs,1.0,,,,TIC BUILDING,2020-05-01 21:30:00
TIC Fume Cupboard Extracts,6.0,,,,TIC BUILDING,2020-05-01 21:30:00
